frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
1;0.000000;10.10.10.10;10.10.10.20;SSH;1186;Server: Encrypted packet (len=1120)
2;0.000899;10.10.10.10;10.10.10.20;TCP;66;22 → 33480 [ACK] Seq=1121 Ack=1537 Win=249 Len=0 TSval=334870161 TSecr=1559551221
3;0.041589;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [ACK] Seq=1537 Ack=1121 Win=249 Len=0 TSval=1559551283 TSecr=334870160
4;0.212220;10.10.10.20;10.10.10.10;SSH;1274;Client: Encrypted packet (len=1208)
5;0.264299;10.10.10.10;10.10.10.20;SSH;1598;Server: Encrypted packet (len=1532)
6;0.264398;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [ACK] Seq=2745 Ack=2653 Win=249 Len=0 TSval=1559551506 TSecr=334870424
7;0.325656;10.10.10.20;10.10.10.10;SSH;150;Client: Encrypted packet (len=84)
8;0.388710;10.10.10.10;10.10.10.20;TCP;66;22 → 33480 [ACK] Seq=2653 Ack=2829 Win=249 Len=0 TSval=334870548 TSecr=1559551567
9;0.388745;10.10.10.20;10.10.10.10;SSH;110;Client: Encrypted packet (len=44)
10;0.409785;10.10.10.10;10.10.10.20;TCP;66;22 → 33480 [ACK] Seq=2653 Ack=2873 Win=249 Len=0 TSval=334870570 TSecr=1559551630
11;0.409785;10.10.10.10;10.10.10.20;SSH;110;Server: Encrypted packet (len=44)
12;0.409879;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [ACK] Seq=2873 Ack=2697 Win=249 Len=0 TSval=1559551651 TSecr=334870570
13;0.410081;10.10.10.20;10.10.10.10;SSH;126;Client: Encrypted packet (len=60)
14;0.433725;10.10.10.10;10.10.10.20;SSH;330;Server: Encrypted packet (len=264)
15;0.434035;10.10.10.20;10.10.10.10;SSH;206;Client: Encrypted packet (len=140)
16;0.456699;10.10.10.10;10.10.10.20;SSH;166;Server: Encrypted packet (len=100)
17;0.458208;10.10.10.20;10.10.10.10;SSH;374;Client: Encrypted packet (len=308)
18;0.489802;10.10.10.10;10.10.10.20;SSH;94;Server: Encrypted packet (len=28)
19;0.490266;10.10.10.20;10.10.10.10;SSH;178;Client: Encrypted packet (len=112)
20;0.551240;10.10.10.10;10.10.10.20;TCP;66;22 → 33480 [ACK] Seq=3089 Ack=3493 Win=249 Len=0 TSval=334870712 TSecr=1559551732
21;1.642099;10.10.10.10;10.10.10.20;SSH;834;Server: Encrypted packet (len=768)
22;1.683161;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [ACK] Seq=3493 Ack=3857 Win=249 Len=0 TSval=1559552925 TSecr=334871802
23;1.704419;10.10.10.10;10.10.10.20;SSH;250;Server: Encrypted packet (len=184)
24;1.704517;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [ACK] Seq=3493 Ack=4041 Win=249 Len=0 TSval=1559552946 TSecr=334871864
25;1.704749;10.10.10.20;10.10.10.10;SSH;234;Client: Encrypted packet (len=168)
26;1.714045;10.10.10.10;10.10.10.20;SSH;242;Server: [TCP Previous segment not captured] , Encrypted packet (len=176)
27;1.714089;10.10.10.20;10.10.10.10;TCP;78;[TCP Dup ACK 24#1] 33480 → 22 [ACK] Seq=3661 Ack=4041 Win=249 Len=0 TSval=1559552956 TSecr=334871864 SLE=4113 SRE=4289
28;1.726197;10.10.10.10;10.10.10.20;TCP;66;22 → 33480 [ACK] Seq=4041 Ack=3661 Win=249 Len=0 TSval=334871886 TSecr=1559552946
29;1.726197;10.10.10.10;10.10.10.20;TCP;138;[TCP Retransmission] 22 → 33480 [PSH, ACK] Seq=4041 Ack=3661 Win=249 Len=72 TSval=334871887 TSecr=1559552946
30;1.726307;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [ACK] Seq=3661 Ack=4289 Win=249 Len=0 TSval=1559552968 TSecr=334871887
31;1.726500;10.10.10.20;10.10.10.10;SSH;102;Client: Encrypted packet (len=36)
32;1.726640;10.10.10.20;10.10.10.10;SSH;126;Client: Encrypted packet (len=60)
33;1.726807;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [FIN, ACK] Seq=3757 Ack=4289 Win=249 Len=0 TSval=1559552968 TSecr=334871887
34;1.727160;10.10.10.10;10.10.10.20;TCP;66;22 → 33480 [ACK] Seq=4289 Ack=3757 Win=249 Len=0 TSval=334871908 TSecr=1559552968
35;1.733453;10.10.10.10;10.10.10.20;TCP;66;22 → 33480 [FIN, ACK] Seq=4289 Ack=3758 Win=249 Len=0 TSval=334871914 TSecr=1559552968
36;1.733513;10.10.10.20;10.10.10.10;TCP;66;33480 → 22 [ACK] Seq=3758 Ack=4290 Win=249 Len=0 TSval=1559552975 TSecr=334871914
37;1.736164;10.10.10.20;10.10.10.10;TFTP;93;Read Request, File: file-10.txt, Transfer type: octet, tsize=0, blksize=1300, timeout=6
38;1.740182;10.10.10.10;10.10.10.20;TFTP;82;Option Acknowledgement, tsize=10000000, blksize=1300, timeout=6
39;1.740501;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 0
40;1.740995;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 1
41;1.741276;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 1
42;1.742130;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2
43;1.742577;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2
44;1.743276;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 3
45;1.743488;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 3
46;1.744574;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 4
47;1.744887;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 4
48;1.746085;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 5
49;1.746269;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 5
50;7.753787;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 6
51;7.754000;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 6
52;7.754731;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 7
53;7.754928;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 7
54;7.755940;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 8
55;7.756142;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 8
56;7.756792;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 9
57;7.757037;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 9
58;7.757613;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 10
59;7.757802;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 10
60;7.758347;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 11
61;7.758521;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 11
