frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
20738;1289.176099;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2441
20739;1289.176318;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2441
20740;1289.188182;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2442
20741;1289.188288;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2442
20742;1289.199397;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2443
20743;1289.199488;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2443
20744;1289.211281;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2444
20745;1289.211392;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2444
20746;1289.223326;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2445
20747;1289.223439;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2445
20748;1289.235549;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2446
20749;1289.235648;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2446
20750;1289.246801;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2447
20751;1289.246874;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2447
20752;1289.257906;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2448
20753;1289.258001;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2448
20754;1289.269983;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2449
20755;1289.270099;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2449
20756;1289.282229;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2450
20757;1289.282532;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2450
20758;1289.293868;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2451
20759;1289.293972;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2451
20760;1289.305865;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2452
20761;1289.305937;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2452
20762;1289.317937;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2453
20763;1289.318126;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2453
20764;1289.330079;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2454
20765;1289.330151;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2454
20766;1289.342047;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2455
20767;1289.342164;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2455
20768;1289.353124;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2456
20769;1289.353210;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2456
20770;1289.365145;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2457
20771;1289.365239;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2457
20772;1289.377066;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2458
20773;1289.377163;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2458
20774;1289.388904;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2459
20775;1289.388998;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2459
20776;1289.400171;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2460
20777;1289.400350;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2460
20778;1289.412331;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2461
20779;1289.412404;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2461
20780;1289.424469;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2462
20781;1289.424697;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2462
