frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
1;0.000000;10.10.10.20;10.10.10.10;TCP;66;34490 → 22 [ACK] Seq=1 Ack=1 Win=249 Len=0 TSval=1556113227 TSecr=331432157
2;0.073028;10.10.10.20;10.10.10.10;SSH;1274;Client: Encrypted packet (len=1208)
3;0.093488;10.10.10.10;10.10.10.20;SSH;1598;Server: Encrypted packet (len=1532)
4;0.093530;10.10.10.20;10.10.10.10;TCP;66;34490 → 22 [ACK] Seq=1209 Ack=1533 Win=249 Len=0 TSval=1556113320 TSecr=331432292
5;0.127725;10.10.10.20;10.10.10.10;SSH;150;Client: Encrypted packet (len=84)
6;0.169431;10.10.10.10;10.10.10.20;TCP;66;22 → 34490 [ACK] Seq=1533 Ack=1293 Win=249 Len=0 TSval=331432368 TSecr=1556113354
7;0.169479;10.10.10.20;10.10.10.10;SSH;110;Client: Encrypted packet (len=44)
8;0.170938;10.10.10.10;10.10.10.20;TCP;66;22 → 34490 [ACK] Seq=1533 Ack=1337 Win=249 Len=0 TSval=331432369 TSecr=1556113396
9;0.170938;10.10.10.10;10.10.10.20;SSH;110;Server: Encrypted packet (len=44)
10;0.171130;10.10.10.20;10.10.10.10;SSH;126;Client: Encrypted packet (len=60)
11;0.174252;10.10.10.10;10.10.10.20;SSH;330;Server: Encrypted packet (len=264)
12;0.174396;10.10.10.20;10.10.10.10;SSH;206;Client: Encrypted packet (len=140)
13;0.179142;10.10.10.10;10.10.10.20;SSH;166;Server: Encrypted packet (len=100)
14;0.180283;10.10.10.20;10.10.10.10;SSH;374;Client: Encrypted packet (len=308)
15;0.195630;10.10.10.10;10.10.10.20;SSH;94;Server: Encrypted packet (len=28)
16;0.195830;10.10.10.20;10.10.10.10;SSH;178;Client: Encrypted packet (len=112)
17;0.238025;10.10.10.10;10.10.10.20;TCP;66;22 → 34490 [ACK] Seq=1969 Ack=1957 Win=249 Len=0 TSval=331432436 TSecr=1556113423
18;0.287234;10.10.10.10;10.10.10.20;SSH;834;Server: Encrypted packet (len=768)
19;0.329107;10.10.10.20;10.10.10.10;TCP;66;34490 → 22 [ACK] Seq=1957 Ack=2737 Win=249 Len=0 TSval=1556113556 TSecr=331432486
20;0.329905;10.10.10.10;10.10.10.20;SSH;250;Server: Encrypted packet (len=184)
